Venue Name,Street Address,City,State Abbrevation,Zip Code,Links,Notes,Photo and Video Resources
716 Alvarado Row,716 Alvarado Row,Stanford,CA,94305,https://www.zillow.com/homedetails/716-Alvarado-Row-Stanford-CA-94305/19506930_zpid/,,
Annenberg Auditorium,435 Lasuen Mall,Stanford,CA,94305,https://ccare.stanford.edu/location/annenberg-auditorium-stanford-university/,"No longer exists; today, this site is home to the David and Joan Traitel Building of Hoover Institution - Maps",https://www.youtube.com/watch?v=Zjr_Q9RXQOs
Black Community Services Center (BCSC),418 Santa Teresa Street,Stanford,CA,94305,https://events.stanford.edu/bcsc,,
Braun Music Center,541 Lasuen Mall,Stanford,CA,94305,https://events.stanford.edu/braun_music_center,,
Casper - Kimball Hall,673 Escondido Rd,Stanford,CA,94305,https://campus-map.stanford.edu/?id=06-700&lat=37.42504203&lng=-122.16186218&zoom=17&srch=Kimball,,
Cemex Auditorium,641 Knight Way ,Stanford,CA,94305,https://campus-map.stanford.edu/?srch=Cemex%20Auditorium,,
CoHo,459 Lagunita Dr,Stanford,CA,94305,https://www.cohostanford.com/,,
Cubberley Auditorium,485 Lasuen Mall,Stanford,CA,94305,https://events.stanford.edu/cubberley_auditorium,,
Department of Psychology (Building 420),450 Jane Stanford Way,Stanford,CA,94305,https://psychology.stanford.edu/,"Formerly called Jordan Hall, named for David Starr Jordan, and renamed in 2020 because of his contributions to the eugenics movement (https://news.stanford.edu/stories/2020/10/jordan-agassiz) ",
Dinkelspiel Auditorium,471 Lagunita Drive,Stanford,CA,94305,https://events.stanford.edu/dinkelspiel_auditorium,,
Encina Hall,616 Jane Stanford Way,Stanford,CA,94305,https://events.stanford.edu/encina_hall,,
"Eucalyptus Grove, Stanford University","291 Lasuen St, Stanford",Stanford,CA,94305,https://events.stanford.edu/event/52_annual_stanford_powwow_and_art_market,,
Frost Amphitheater,351 Lasuen St,Stanford,CA,94305,https://events.stanford.edu/frost_amphitheater,,
Harmony House,561 Lomita Drive,Stanford,CA,94305,https://events.stanford.edu/harmony_house,,
J. Henry Meyer Memorial Library,560 Escondido Mall,Stanford,CA,94305,https://www.yelp.com/biz/j-henry-meyer-memorial-library-stanford,"No longer exists; there is a lot of news coverage about the building, students' relationship to its bleak design, and its demolition",https://stanforddaily.com/2015/03/09/meyer-librarys-demolition-in-photos/
Kresge Auditorium,555 Nathan Abbott Way,Stanford,CA,94305,"https://maps.stanford.edu/ada/pdf/ADAMAP02-060.pdf

https://campus-map.stanford.edu/?srch=William%20H.%20Neukom%20316",No longer exists; the location is now occupied by the Neukom Building (https://law.stanford.edu/stanford-lawyer/articles/celebrating-crown-quadrangle/),
Lagunita - Ujamaa House,326 Santa Teresa St,Stanford,CA,94305,https://campus-map.stanford.edu/?id=05-010C&lat=37.42479449&lng=-122.17577626&zoom=17&srch=ujamaa,,
Memorial Auditorium,551 Jane Stanford Way,Stanford,CA,94305,https://events.stanford.edu/memorial_auditorium,,
O'Donohue Educational Farm,175 Electioneer Rd,Stanford,CA,94305,https://events.stanford.edu/odonohue_educational_farm,,
Old Union Ballroom (Clubhouse),524 Lasuen Mall,Stanford,CA,94305,https://maps.stanford.edu/ada/building-ada.cfm?facil_id=02-600,,
Paul Brest Hall (Munger Building),555 Salvatierra Walk,Stanford,CA,94305,https://cyberlaw.stanford.edu/maps-paul-brest-hall/,,
Pigott Theater,551 Jane Stanford Way,Stanford,CA,94305,https://campus-map.stanford.edu/?srch=Pigott%20Theatre?me=https://campus-map.stanford.edu/?srch=Pigott%20Theatre#,,
Ricker Dining,238 Santa Teresa St,Stanford,CA,94305,https://rde.stanford.edu/dining-hospitality/dining-locations-hours,,
Roble Gym,375 Santa Teresa Street,Stanford,CA,94305,https://events.stanford.edu/roble_gym,,
Roble Hall,374 Santa Teresa Street,Stanford,CA,94305,https://events.stanford.edu/roble_hall,,
Schwab Residential Center,680 Jane Stanford Way,Stanford,CA,94305,https://www.gsb.stanford.edu/visit/accommodations,,
Stanford Art Gallery,419 Lasuen Mall,Stanford,CA,94305,https://events.stanford.edu/art_gallery,Formerly the Thomas Welton Stanford Art Gallery (https://arts.stanford.edu/tag/thomas-welton-stanford-art-gallery/ ),
Stanford Humanities Center,424 Santa Teresa Street,Stanford,CA,94305,https://events.stanford.edu/humanities_center#about_map,,
Stanford Law School,559 Nathon Abbott Way,Stanford,CA,94305,https://events.stanford.edu/law_school,,
Stanford Main Quad,20 Palm Dr,Stanford,CA,94305,"https://www.google.com/maps/place/Stanford+Main+Quad/@37.4206005,-122.1862576,13z/data=!4m10!1m2!2m1!1sstanford+main+quad!3m6!1s0x808fbb2a75232257:0x43f0ff0d7a1cde66!8m2!3d37.4276648!4d-122.1701779!15sChJzdGFuZm9yZCBtYWluIHF1YWSSAQVwbGF6YeABAA!16s%2Fg%2F11_r2j7r7?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D","Will encompass events held in different Main Quad buildings, including:
- Department of Psychology (Building 420)
- Pigott Hall (Building 260)
- Margaret Jacks Hall
- Building 370
- Building 320
- History Corner",
The Nitery,514 Lasuen Mall,Stanford,CA,94305,https://maps.stanford.edu/ada/building-ada.cfm?FACIL_ID=02-590,,
Toyon Hall,455 Arguello Way,Stanford,CA,94305,https://events.stanford.edu/toyon_hall,,
Tresidder Union,459 Lagunita Drive,Stanford,CA,94305,https://events.stanford.edu/tresidder_union,,
White Plaza,"White Memorial Plaza, 359 Lasuen Mall",Stanford,CA,94305,"https://www.google.com/maps/place/White+Memorial+Fountain/@37.4249444,-122.1693639,17z/data=!3m1!4b1!4m6!3m5!1s0x808fbad42f1efd2f:0xfe96be88fbf98188!8m2!3d37.4249444!4d-122.1693639!16s%2Fg%2F1ygb8mq_5?hl=en-US&entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,
Wilbur - Junipero Dorm,658 Escondido Rd,Stanford,CA,94305,https://campus-map.stanford.edu/?id=06-400C&lat=37.42353981&lng=-122.16241912&zoom=17&srch=Junipero,,
