location,street address,city,state_abbrev,zip code
Annenberg Auditorium,435 Lasuen Mall,Stanford,CA,94305
Black Community Services Center (BCSC),418 Santa Teresa Street,Stanford,CA,94305
Braun Music Center,541 Lasuen Mall,Stanford,CA,94305
Cemex Auditorium,641 Knight Way ,Stanford,CA,94305
CoHo,459 Lagunita Dr,Stanford,CA,94305
Cubberley Auditorium,485 Lasuen Mall,Stanford,CA,94305
Dinkelspiel Auditorium,471 Lagunita Drive,Stanford,CA,94305
Encina Hall,616 Jane Stanford Way,Stanford,CA,94305
Eucalyptus Grove,291 Lasuen St,Stanford,CA,94305
Frost Amphitheater,351 Lasuen St,Stanford,CA,94305
Harmony House,561 Lomita Drive,Stanford,CA,94305
J. Henry Meyer Memorial Library,560 Escondido Mall,Stanford,CA,94305
Kresge Auditorium,555 Nathan Abbott Way,Stanford,CA,94305
Memorial Auditorium,551 Jane Stanford Way,Stanford,CA,94305
O'Donohue Educational Farm,175 Electioneer Rd,Stanford,CA,94305
Old Union Ballroom (Clubhouse),524 Lasuen Mall,Stanford,CA,94305
Paul Brest Hall (Munger Building),555 Salvatierra Walk,Stanford,CA,94305
Pigott Theatre,551 Jane Stanford Way,Stanford,CA,94305
Roble Gym,375 Santa Teresa Street,Stanford,CA,94305
Stanford Art Gallery,419 Lasuen Mall,Stanford,CA,94305
Stanford Humanities Center,424 Santa Teresa Street,Stanford,CA,94305
Stanford Main Quad,20 Palm Dr,Stanford,CA,94305
The Nitery,514 Lasuen Mall,Stanford,CA,94305
White Plaza,"White Memorial Plaza, 359 Lasuen Mall",Stanford,CA,94305
