location,street address,Longitude,Latitude,city,state_abbrev,zip code,Google My Maps Link
Annenberg Auditorium,435 Lasuen Mall,-122.1678,37.42753,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Black Community Services Center (BCSC),418 Santa Teresa St,-122.17267,37.42442,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Braun Music Center,541 Lasuen Mall,-122.1695,37.42372,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Cemex Auditorium,641 Knight Way,-122.16303,37.42865,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
CoHo,459 Lagunita Dr,-122.1709,37.42411,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Cubberley Auditorium,485 Lasuen Mall,-122.16835,37.42635,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Dinkelspiel Auditorium,471 Lagunita Dr,-122.16992,37.42406,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Encina Hall,616 Jane Stanford Way,-122.16462,37.42731,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
"Eucalyptus Grove, Stanford University",291 Lasuen St,-122.16504,37.43559,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Frost Amphitheater,351 Lasuen St,-122.16602,37.43072,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Harmony House,561 Lomita Dr,-122.17308,37.4243,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
J. Henry Meyer Memorial Library,560 Escondido Mall,-122.16708,37.42663,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Kresge Auditorium,555 Nathan Abbott Way,-122.16806,37.42357,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Memorial Auditorium,551 Jane Stanford Way,-122.1666,37.42875,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
O'Donohue Educational Farm,175 Electioneer Rd,-122.18276,37.42646,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Old Union Ballroom (Clubhouse),524 Lasuen Mall,-122.16982,37.42475,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Paul Brest Hall (Munger Building),555 Salvatierra Walk,-122.16735,37.42327,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Pigott Theater,551 Jane Stanford Way,-122.16679,37.4292,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Roble Gym,375 Santa Teresa St,-122.17486,37.42599,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Stanford Art Gallery,419 Lasuen Mall,-122.16771,37.42801,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Stanford Humanities Center,424 Santa Teresa St,-122.17237,37.42485,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
Stanford Main Quad,20 Palm Dr,-122.17017,37.42766,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
The Nitery,514 Lasuen Mall,-122.16974,37.42533,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
White Plaza,359 Lasuen Mall,-122.16939,37.42495,Stanford,CA,94305,https://www.google.com/maps/d/u/0/edit?mid=1lbopfTnnhfucWqZ5bvJ79ekEkxAyvfc&usp=sharing 
