,,,,,,,
Geolocated Table - OpenRefine Method,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
location,street address,Longitude,Latitude,city,state_abbrev,zip code,locatorJSON
Annenberg Auditorium,435 Lasuen Mall,-122.168391,37.42771137,Stanford,CA,94305,"{
 ""spatialReference"": {
  ""wkid"": 4326,
  ""latestWkid"": 4326
 },
 ""candidates"": [
  {
   ""address"": ""435 Lasuen Mall, Stanford, California, 94305"",
   ""location"": {
    ""x"": -122.168391003352,
    ""y"": 37.427711369203
   },
   ""score"": 100,
   ""attributes"": {
    
   },
   ""extent"": {
    ""xmin"": -122.168882640924,
    ""ymin"": 37.426540294559,
    ""xmax"": -122.166882640924,
    ""ymax"": 37.428540294559
   }
  }
 ]
}"
Black Community Services Center (BCSC),418 Santa Teresa St,-122.1715322,37.42488005,Stanford,CA,94305,"{
 ""spatialReference"": {
  ""wkid"": 4326,
  ""latestWkid"": 4326
 },
 ""candidates"": [
  {
   ""address"": ""418 Santa Teresa St, Stanford, California, 94305"",
   ""location"": {
    ""x"": -122.171532205386,
    ""y"": 37.42488004613
   },
   ""score"": 100,
   ""attributes"": {
    
   },
   ""extent"": {
    ""xmin"": -122.172467329455,
    ""ymin"": 37.42418992509,
    ""xmax"": -122.170467329455,
    ""ymax"": 37.42618992509
   }
  }
 ]
}"
Braun Music Center,541 Lasuen Mall,-122.1693396,37.42357947,Stanford,CA,94305,"{
 ""spatialReference"": {
  ""wkid"": 4326,
  ""latestWkid"": 4326
 },
 ""candidates"": [
  {
   ""address"": ""541 Lasuen Mall, Stanford, California, 94305"",
   ""location"": {
    ""x"": -122.169339583334,
    ""y"": 37.423579468123
   },
   ""score"": 100,
   ""attributes"": {
    
   },
   ""extent"": {
    ""xmin"": -122.16998326863,
    ""ymin"": 37.422835199989,
    ""xmax"": -122.16798326863,
    ""ymax"": 37.424835199989
   }
  }
 ]
}"
Cemex Auditorium,641 Knight Way,-122.1629619,37.42813885,Stanford,CA,94305,"{
 ""spatialReference"": {
  ""wkid"": 4326,
  ""latestWkid"": 4326
 },
 ""candidates"": [
  {
   ""address"": ""641 Knight Way, Stanford, California, 94305"",
   ""location"": {
    ""x"": -122.162961877027,
    ""y"": 37.428138846265
   },
   ""score"": 100,
   ""attributes"": {
    
   },
   ""extent"": {
    ""xmin"": -122.16385777379,
    ""ymin"": 37.427541345256,
    ""xmax"": -122.16185777379,
    ""ymax"": 37.429541345256
   }
  }
 ]
}"
CoHo,459 Lagunita Dr,-122.1710818,37.42361723,Stanford,CA,94305,"{
 ""spatialReference"": {
  ""wkid"": 4326,
  ""latestWkid"": 4326
 },
 ""candidates"": [
  {
   ""address"": ""459 Lagunita Dr, Stanford, California, 94305"",
   ""location"": {
    ""x"": -122.171081761909,
    ""y"": 37.423617228597
   },
   ""score"": 100,
   ""attributes"": {
    
   },
   ""extent"": {
    ""xmin"": -122.172077235682,
    ""ymin"": 37.422868434235,
    ""xmax"": -122.170077235682,
    ""ymax"": 37.424868434235
   }
  }
 ]
}"
Cubberley Auditorium,485 Lasuen Mall,-122.1687652,37.42659951,Stanford,CA,94305,"{
 ""spatialReference"": {
  ""wkid"": 4326,
  ""latestWkid"": 4326
 },
 ""candidates"": [
  {
   ""address"": ""485 Lasuen Mall, Stanford, California, 94305"",
   ""location"": {
    ""x"": -122.16876517151,
    ""y"": 37.426599509747
   },
   ""score"": 100,
   ""attributes"": {
    
   },
   ""extent"": {
    ""xmin"": -122.16939293119,
    ""ymin"": 37.425474200295,
    ""xmax"": -122.16739293119,
    ""ymax"": 37.427474200295
   }
  }
 ]
}"
Dinkelspiel Auditorium,471 Lagunita Dr,-122.1702929,37.4235705,Stanford,CA,94305,"{
 ""spatialReference"": {
  ""wkid"": 4326,
  ""latestWkid"": 4326
 },
 ""candidates"": [
  {
   ""address"": ""471 Lagunita Dr, Stanford, California, 94305"",
   ""location"": {
    ""x"": -122.170292941001,
    ""y"": 37.423570499487
   },
   ""score"": 100,
   ""attributes"": {
    
   },
   ""extent"": {
    ""xmin"": -122.170886670154,
    ""ymin"": 37.423073497497,
    ""xmax"": -122.168886670154,
    ""ymax"": 37.425073497497
   }
  }
 ]
}"
Encina Hall,616 Jane Stanford Way,-122.1646098,37.42786044,Stanford,CA,94305,"{
 ""spatialReference"": {
  ""wkid"": 4326,
  ""latestWkid"": 4326
 },
 ""candidates"": [
  {
   ""address"": ""616 Jane Stanford Way, Stanford, California, 94305"",
   ""location"": {
    ""x"": -122.164609759191,
    ""y"": 37.427860441351
   },
   ""score"": 100,
   ""attributes"": {
    
   },
   ""extent"": {
    ""xmin"": -122.165718807752,
    ""ymin"": 37.426322155529,
    ""xmax"": -122.163718807752,
    ""ymax"": 37.428322155529
   }
  }
 ]
}"
"Eucalyptus Grove, Stanford University",291 Lasuen St,-122.1662297,37.43399824,Stanford,CA,94305,"{
 ""spatialReference"": {
  ""wkid"": 4326,
  ""latestWkid"": 4326
 },
 ""candidates"": [
  {
   ""address"": ""291 Lasuen St, Stanford, California, 94305"",
   ""location"": {
    ""x"": -122.166229705778,
    ""y"": 37.433998241423
   },
   ""score"": 100,
   ""attributes"": {
    
   },
   ""extent"": {
    ""xmin"": -122.167229705778,
    ""ymin"": 37.432998241423,
    ""xmax"": -122.165229705778,
    ""ymax"": 37.434998241423
   }
  }
 ]
}"
Frost Amphitheater,351 Lasuen St,-122.1680926,37.42864729,Stanford,CA,94305,"{
 ""spatialReference"": {
  ""wkid"": 4326,
  ""latestWkid"": 4326
 },
 ""candidates"": [
  {
   ""address"": ""351 Lasuen Mall, Stanford, California, 94305"",
   ""location"": {
    ""x"": -122.168092607598,
    ""y"": 37.428647292512
   },
   ""score"": 98.04,
   ""attributes"": {
    
   },
   ""extent"": {
    ""xmin"": -122.166920940305,
    ""ymin"": 37.429860534045,
    ""xmax"": -122.164920940305,
    ""ymax"": 37.431860534045
   }
  }
 ]
}"
